nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,baseline,paired_runs,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_diff_mean,energy_mj_diff_ci95_low,energy_mj_diff_ci95_high,energy_mj_wilcoxon_p,f1_full_mean,f1_baseline_mean,f1_diff_mean,f1_diff_ci95_low,f1_diff_ci95_high,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_diff_mean,dcr_diff_ci95_low,dcr_diff_ci95_high,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_diff_mean,tx_packets_diff_ci95_low,tx_packets_diff_ci95_high,tx_packets_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_diff_mean,collisions_diff_ci95_low,collisions_diff_ci95_high,collisions_wilcoxon_p
20,100,100,rician,2.0,event_driven,10,545.03463,277.16306,267.87157,260.16024398750136,275.5828960124987,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,2.0,distributed_edge,10,545.03463,463.16306,81.87157,74.16024398750133,89.58289601249868,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,3.0,periodic,10,758.02861,403.88,354.14861,344.71601010809326,363.5812098919068,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,3.0,event_driven,10,758.02861,277.16306,480.86555,471.6412807265075,490.0898192734925,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,3.0,distributed_edge,10,758.02861,556.16306,201.86554999999998,192.64128072650746,211.0898192734925,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,4.0,periodic,10,971.02263,403.88,567.14263,555.7821259714393,578.5031340285608,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,4.0,event_driven,10,971.02263,277.16306,693.8595700000001,682.9898932207134,704.7292467792868,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,4.0,distributed_edge,10,971.02263,649.16306,321.85957,310.9898932207133,332.7292467792867,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,500,500,log_normal,0.1,periodic,10,118.0904,403.88,-285.7896,-289.7162001273476,-281.86299987265244,0.001953125,0.99744,1.0,-0.0025599999999999954,-0.007577599999999987,0.0024575999999999964,1.0,0.995,1.0,-0.0050000000000000044,-0.014800000000000011,0.004800000000000002,1.0,35.0,600.0,-565.0,-567.3915926817825,-562.6084073182175,0.001953125,161.7,6714.6,-6552.9,-6980.423027827352,-6125.376972172648,0.001953125
20,500,500,log_normal,0.1,event_driven,10,118.0904,274.02386,-155.93346,-162.63430269545154,-149.23261730454846,0.001953125,0.99744,1.0,-0.0025599999999999954,-0.007577599999999987,0.0024575999999999964,1.0,0.995,1.0,-0.0050000000000000044,-0.014800000000000011,0.004800000000000002,1.0,35.0,346.7,-311.7,-321.85528858389665,-301.5447114161033,0.001953125,161.7,3798.5,-3636.8,-3965.6952678312323,-3307.904732168768,0.001953125
